Venue,Borough,Venue Category,Group,Venue Latitude,Venue Longitude,BoroughLocation
London Marriott Hotel Park Lane,Westminster,Hotel,Other,51.5130218,-0.1579099,"[51.4973, -0.1372]"
Roof Top Kitchen,Westminster,Café,Eating out,51.52417179568998,-0.1686804474420441,"[51.4973, -0.1372]"
Caffè Nero,Westminster,Coffee Shop,Eating out,51.517735886423424,-0.1666507660035202,"[51.4973, -0.1372]"
Colbeh Restaurant,Westminster,Persian Restaurant,Eating out,51.514797985232526,-0.16514838878436164,"[51.4973, -0.1372]"
The Three Tuns,Westminster,Pub,Going out,51.51460392921646,-0.15608762406818927,"[51.4973, -0.1372]"
Amba Hotel Marble Arch,Westminster,Hotel,Other,51.51419421817069,-0.15653029007776245,"[51.4973, -0.1372]"
Blondies Kitchen,Westminster,Dessert Shop,Shopping,51.514567,-0.153082,"[51.4973, -0.1372]"
BrewDog Paddington,Westminster,Beer Bar,Going out,51.518880899078425,-0.17090125818722898,"[51.4973, -0.1372]"
Foot Locker,Westminster,Shoe Store,Shopping,51.51386731555762,-0.15868349570087048,"[51.4973, -0.1372]"
Costa Coffee,Westminster,Coffee Shop,Eating out,51.515862679553,-0.1640260941748267,"[51.4973, -0.1372]"
Maroush Gardens,Westminster,Lebanese Restaurant,Eating out,51.515010107491534,-0.16308040904365137,"[51.4973, -0.1372]"
Paul,Westminster,Bakery,Groceries,51.514404,-0.16159338,"[51.4973, -0.1372]"
Hyde Park Square,Westminster,Garden,Green spaces,51.51397070098306,-0.16905426979064941,"[51.4973, -0.1372]"
Virgin Active,Westminster,Gym / Fitness Center,Health and Sports,51.51320953829167,-0.15689045190811157,"[51.4973, -0.1372]"
Topshop,Westminster,Women's Store,Shopping,51.5137313,-0.1576678,"[51.4973, -0.1372]"
The Grosvenor Victoria Casino London,Westminster,Casino,Entertainment,51.51702450731947,-0.16579669982219827,"[51.4973, -0.1372]"
Cartier,Westminster,Jewelry Store,Shopping,51.514211555270116,-0.1538847282077314,"[51.4973, -0.1372]"
Freej Swaileh,Westminster,Middle Eastern Restaurant,Eating out,51.517810032867736,-0.1669503500109628,"[51.4973, -0.1372]"
Snowflake Luxury Gelato,Westminster,Ice Cream Shop,Eating out,51.51457549769604,-0.1620690205569107,"[51.4973, -0.1372]"
Chop'd,Westminster,Salad Place,Eating out,51.51469199654404,-0.15411724361506626,"[51.4973, -0.1372]"
Casa Malevo,Westminster,Argentinian Restaurant,Eating out,51.51457393068802,-0.16536612603535547,"[51.4973, -0.1372]"
Al Maskoof Al Iraqi,Westminster,Iraqi Restaurant,Eating out,51.51507810721483,-0.1655421187086328,"[51.4973, -0.1372]"
Marble Arch Square,Westminster,Park,Green spaces,51.513383230569026,-0.15845092462190027,"[51.4973, -0.1372]"
Beirut Cafe,Westminster,Lebanese Restaurant,Eating out,51.516663794003975,-0.1652038703538586,"[51.4973, -0.1372]"
Le Pain Quotidien,Westminster,Bakery,Groceries,51.51452487283632,-0.1667623221874237,"[51.4973, -0.1372]"
Abasto,Westminster,Argentinian Restaurant,Eating out,51.51446581533229,-0.16660682888782463,"[51.4973, -0.1372]"
Boots,Westminster,Pharmacy,Other,51.51796809075747,-0.16721544048954734,"[51.4973, -0.1372]"
The Victoria,Westminster,Pub,Going out,51.5133811,-0.1711489,"[51.4973, -0.1372]"
Oxford Square,Westminster,Road,Other,51.51531272000994,-0.16689777374267575,"[51.4973, -0.1372]"
Vinoteca,Westminster,Wine Bar,Going out,51.514900393937516,-0.16122418099823113,"[51.4973, -0.1372]"
The Z Hotel Gloucester Place,Westminster,Hotel,Other,51.51818357322121,-0.1581859588623047,"[51.4973, -0.1372]"
Portman Square,Westminster,Plaza,Other,51.5166105415579,-0.15551417221873481,"[51.4973, -0.1372]"
Il Baretto,Westminster,Italian Restaurant,Eating out,51.51837829613352,-0.15438019281491483,"[51.4973, -0.1372]"
Food Filosofy,Westminster,Greek Restaurant,Eating out,51.5172321654744,-0.1567411400609456,"[51.4973, -0.1372]"
Pret A Manger,Westminster,Sandwich Place,Eating out,51.51726465421386,-0.15526203603741734,"[51.4973, -0.1372]"
TwoTwentyTwo Bar & Restaurant,Westminster,Restaurant,Eating out,51.521492822441054,-0.1620286748549952,"[51.4973, -0.1372]"
The Collaborative Store,Westminster,Boutique,Shopping,51.518422,-0.154918,"[51.4973, -0.1372]"
Howarth of London,Westminster,Music Store,Shopping,51.519452128399124,-0.1553776185433994,"[51.4973, -0.1372]"
Long Tall Sally,Westminster,Women's Store,Shopping,51.51945588081628,-0.1550688753863261,"[51.4973, -0.1372]"
Phoenix Palace,Westminster,Chinese Restaurant,Eating out,51.52238876204859,-0.15898481841155893,"[51.4973, -0.1372]"
Locanda Locatelli,Westminster,Italian Restaurant,Eating out,51.515142358000254,-0.15703634358939839,"[51.4973, -0.1372]"
Kusmi Tea,Westminster,Gourmet Shop,Shopping,51.5191573159144,-0.15164519201883458,"[51.4973, -0.1372]"
The West Wing - Hilton,Westminster,Hotel,Other,51.51950677521357,-0.1714596756210085,"[51.4973, -0.1372]"
Duke of Kendal,Westminster,Pub,Going out,51.51454377416871,-0.1663086881503718,"[51.4973, -0.1372]"
Frontline Club,Westminster,Bar,Going out,51.51693235182926,-0.17252285901336012,"[51.4973, -0.1372]"
Virgin Active,Westminster,Gym / Fitness Center,Health and Sports,51.518988047302074,-0.17348259687423706,"[51.4973, -0.1372]"
Starbucks,Westminster,Coffee Shop,Eating out,51.51892,-0.168813,"[51.4973, -0.1372]"
Animals In War Memorial,Westminster,Memorial Site,Other,51.51103123561397,-0.15741322644013764,"[51.4973, -0.1372]"
Primark,Westminster,Clothing Store,Shopping,51.5135323,-0.1560137,"[51.4973, -0.1372]"
Grand Residences by Marriott,Westminster,Hotel,Other,51.51112295253765,-0.15480905771255493,"[51.4973, -0.1372]"
The Mayfair Chippy,Westminster,Fish & Chips Shop,Shopping,51.51317694147362,-0.15352550173397053,"[51.4973, -0.1372]"
Italian Gardens,Westminster,Garden,Green spaces,51.51084390978169,-0.17557551589492673,"[51.4973, -0.1372]"
Pardis Restaurant,Westminster,Persian Restaurant,Eating out,51.51453765076458,-0.16561143444479487,"[51.4973, -0.1372]"
Serpentine Sackler Gallery,Westminster,Art Gallery,Entertainment,51.50690381134801,-0.17146617257900237,"[51.4973, -0.1372]"
Hyde Park Stables,Westminster,Stables,Other,51.512905,-0.174585,"[51.4973, -0.1372]"
Angelus Restaurant,Westminster,French Restaurant,Eating out,51.51283636752739,-0.17472446070988504,"[51.4973, -0.1372]"
Italian Gardens Café,Westminster,Café,Eating out,51.51129827942295,-0.1754637084975213,"[51.4973, -0.1372]"
Paramount Lebanese Kitchen,Westminster,Lebanese Restaurant,Eating out,51.51580118367818,-0.17468054259629798,"[51.4973, -0.1372]"
The Kolossi,Westminster,Greek Restaurant,Eating out,51.51551172826341,-0.17414113718279894,"[51.4973, -0.1372]"
The Westbourne Hyde Park,Westminster,Hotel,Other,51.513263074728634,-0.17783614120269414,"[51.4973, -0.1372]"
Kioskafé,Westminster,Bookstore,Shopping,51.51691351802252,-0.17262615584241733,"[51.4973, -0.1372]"
Jumeirah Grosvenor House,Westminster,Hotel,Other,51.50900575231705,-0.15451215736171803,"[51.4973, -0.1372]"
Parcafé,Westminster,Café,Eating out,51.50743889456927,-0.15317370000780672,"[51.4973, -0.1372]"
Ultimate Performance,Westminster,Gym,Health and Sports,51.5081603690361,-0.15334530299913104,"[51.4973, -0.1372]"
Diana Princess of Wales Memorial Fountain,Westminster,Fountain,Other,51.504902056248106,-0.17161384828796145,"[51.4973, -0.1372]"
BVLGARI Hotel London,Westminster,Hotel,Other,51.5015804,-0.1629138,"[51.4973, -0.1372]"
Serpentine Gallery,Westminster,Art Gallery,Entertainment,51.50456210431835,-0.1750946044921875,"[51.4973, -0.1372]"
Dinner by Heston Blumenthal,Westminster,Molecular Gastronomy Restaurant,Eating out,51.50232659239313,-0.16022669035010037,"[51.4973, -0.1372]"
Peter Pan Statue,Westminster,Outdoor Sculpture,Green spaces,51.50864699744104,-0.1758301458709387,"[51.4973, -0.1372]"
China Tang,Westminster,Chinese Restaurant,Eating out,51.50733588323953,-0.15303006098065366,"[51.4973, -0.1372]"
Lido Café,Westminster,Café,Eating out,51.504662277041746,-0.1696228981018066,"[51.4973, -0.1372]"
Burger & Lobster,Kensington and Chelsea,Burger Joint,Eating out,51.501677376311754,-0.15946625414014684,"[51.502, -0.1947]"
Rolex,Westminster,Jewelry Store,Shopping,51.50186287548862,-0.16044471992487025,"[51.4973, -0.1372]"
The Rosebery,Westminster,Champagne Bar,Going out,51.5021819,-0.1595482,"[51.4973, -0.1372]"
Kensington Gardens,Westminster,Park,Green spaces,51.506765853364506,-0.18037319183349607,"[51.4973, -0.1372]"
Harvey Nichols Bar,Kensington and Chelsea,Café,Eating out,51.50170702856569,-0.15949118801397702,"[51.502, -0.1947]"
Bar Boulud,Westminster,French Restaurant,Eating out,51.5020608,-0.1602757,"[51.4973, -0.1372]"
Italian Fountains,Westminster,Fountain,Other,51.510545368712286,-0.17550230026245117,"[51.4973, -0.1372]"
Hyde Park Pavillion and Grounds,Westminster,Garden,Green spaces,51.502456194932236,-0.1743368118636685,"[51.4973, -0.1372]"
Albert Memorial,Westminster,Monument / Landmark,Other,51.502426,-0.177699,"[51.4973, -0.1372]"
Royal Albert Hall,Westminster,Concert Hall,Entertainment,51.50112169476231,-0.17741730766218888,"[51.4973, -0.1372]"
Royal Lancaster Hotel,Westminster,Hotel,Other,51.512259969888994,-0.17511040363032335,"[51.4973, -0.1372]"
Princes' Gardens,Westminster,College Quad,Other,51.4990022543928,-0.17264916568590497,"[51.4973, -0.1372]"
L'ETO Caffè,Kensington and Chelsea,Café,Eating out,51.496661,-0.168792,"[51.502, -0.1947]"
Hawksmoor Knightsbridge,Kensington and Chelsea,Steakhouse,Eating out,51.497438,-0.166833,"[51.502, -0.1947]"
Scalini,Kensington and Chelsea,Italian Restaurant,Eating out,51.49596606497627,-0.16491196504928113,"[51.502, -0.1947]"
Chapati & Karak,Kensington and Chelsea,Café,Eating out,51.49839953870346,-0.16593114026426356,"[51.502, -0.1947]"
Royal College of Music,Westminster,University,Other,51.49951115941499,-0.1769672989907509,"[51.4973, -0.1372]"
Victoria and Albert Museum (V&A),Kensington and Chelsea,Art Museum,Entertainment,51.49654531037934,-0.17219832647848585,"[51.502, -0.1947]"
Science Museum,Kensington and Chelsea,Science Museum,Entertainment,51.49735805798784,-0.17443418552973236,"[51.502, -0.1947]"
V&A Shop,Kensington and Chelsea,Gift Shop,Shopping,51.496501809163654,-0.17224124210776168,"[51.502, -0.1947]"
Maroush II,Kensington and Chelsea,Lebanese Restaurant,Eating out,51.49741786111508,-0.16433568008221042,"[51.502, -0.1947]"
Volcanoes & Earthquakes,Kensington and Chelsea,Exhibit,Entertainment,51.496918722227356,-0.174722998863351,"[51.502, -0.1947]"
Natural History Museum,Kensington and Chelsea,Science Museum,Entertainment,51.49652085547838,-0.17653226852416992,"[51.502, -0.1947]"
Medicine: The Wellcome Galleries,Kensington and Chelsea,Exhibit,Entertainment,51.497433289560455,-0.17431623182839284,"[51.502, -0.1947]"
Cadogan Square Gardens,Kensington and Chelsea,Garden,Green spaces,51.494997934287724,-0.16058921813964844,"[51.502, -0.1947]"
Sensational Butterflies,Kensington and Chelsea,Exhibit,Entertainment,51.496014,-0.17446093,"[51.502, -0.1947]"
Aubaine,Kensington and Chelsea,French Restaurant,Eating out,51.49411438288591,-0.1688028695637053,"[51.502, -0.1947]"
Dinosaur Gallery,Kensington and Chelsea,Exhibit,Entertainment,51.496355567978036,-0.17637668852538135,"[51.502, -0.1947]"
The Conran Shop,Kensington and Chelsea,Design Studio,Other,51.49321351933162,-0.1683011102728884,"[51.502, -0.1947]"
KX | Private Members Health Club,Kensington and Chelsea,Gym / Fitness Center,Health and Sports,51.493418135635174,-0.167387152666646,"[51.502, -0.1947]"
La Cave à Fromage,Kensington and Chelsea,Cheese Shop,Shopping,51.49446030593533,-0.17459990966582548,"[51.502, -0.1947]"
The Five Fields,Kensington and Chelsea,Restaurant,Eating out,51.491770289372845,-0.16119093838049123,"[51.502, -0.1947]"
The Ampersand Hotel,Kensington and Chelsea,Hotel,Other,51.49423313649128,-0.1755132456497116,"[51.502, -0.1947]"
Science Museum (IMAX),Kensington and Chelsea,Movie Theater,Entertainment,51.49716450794273,-0.17789270697050005,"[51.502, -0.1947]"
Venchi,Kensington and Chelsea,Ice Cream Shop,Eating out,51.49500308660125,-0.17349849456907238,"[51.502, -0.1947]"
Daphne's,Kensington and Chelsea,Italian Restaurant,Eating out,51.493722,-0.167742,"[51.502, -0.1947]"
Oddono's,Kensington and Chelsea,Ice Cream Shop,Eating out,51.49360911928921,-0.17626423918358916,"[51.502, -0.1947]"
Kutir,Kensington and Chelsea,Indian Restaurant,Eating out,51.491549,-0.16144,"[51.502, -0.1947]"
Duke of York Square,Kensington and Chelsea,Plaza,Other,51.49127165555333,-0.1598274236787374,"[51.502, -0.1947]"
Granger & Co.,Kensington and Chelsea,Breakfast Spot,Eating out,51.493693391578034,-0.15876531600952148,"[51.502, -0.1947]"
Bliss Spa,Kensington and Chelsea,Spa,Health and Sports,51.49291985189173,-0.16743509710940427,"[51.502, -0.1947]"
11 Cadogan Gardens,Kensington and Chelsea,Hotel,Other,51.49364285031129,-0.15953368644563096,"[51.502, -0.1947]"
Saturday Farmers' Market,Kensington and Chelsea,Farmers Market,Groceries,51.49091729590429,-0.16032866765140308,"[51.502, -0.1947]"
Rag & Bone,Kensington and Chelsea,Boutique,Shopping,51.49286208519227,-0.15747115015983582,"[51.502, -0.1947]"
Gaucho,Kensington and Chelsea,Argentinian Restaurant,Eating out,51.4929544229233,-0.16748749315433784,"[51.502, -0.1947]"
Saatchi Gallery,Kensington and Chelsea,Art Gallery,Entertainment,51.49068939481727,-0.15891551971435547,"[51.502, -0.1947]"
The Hummingbird Bakery,Kensington and Chelsea,Cupcake Shop,Shopping,51.49340253880464,-0.17554878829524218,"[51.502, -0.1947]"
Ciné lumière,Kensington and Chelsea,Indie Movie Theater,Entertainment,51.49455119213542,-0.17726276620341655,"[51.502, -0.1947]"
Maitre Choux,Kensington and Chelsea,Dessert Shop,Shopping,51.49415043396257,-0.1755429919731502,"[51.502, -0.1947]"
Taschen,Kensington and Chelsea,Bookstore,Shopping,51.49125213565245,-0.15944374065976308,"[51.502, -0.1947]"
T2,Kensington and Chelsea,Tea Room,Eating out,51.490662260283806,-0.16160904308322596,"[51.502, -0.1947]"
Daylesford Farm & Café,Kensington and Chelsea,Organic Grocery,Groceries,51.493302,-0.168363,"[51.502, -0.1947]"
Partridges,Kensington and Chelsea,Deli / Bodega,Groceries,51.49063594914568,-0.16050186011887035,"[51.502, -0.1947]"
KOBOX,Kensington and Chelsea,Boxing Gym,Health and Sports,51.490118196855015,-0.1629762641481772,"[51.502, -0.1947]"
Elystan Street,Kensington and Chelsea,English Restaurant,Eating out,51.49168435333679,-0.16764038179040777,"[51.502, -0.1947]"
Number Sixteen,Kensington and Chelsea,Hotel,Other,51.49313452300895,-0.17559129318743183,"[51.502, -0.1947]"
South Kensington Club,Kensington and Chelsea,Social Club,Entertainment,51.493913544609185,-0.17796474705373158,"[51.502, -0.1947]"
Amorino,Kensington and Chelsea,Ice Cream Shop,Eating out,51.48945493068654,-0.16380283457659325,"[51.502, -0.1947]"
Venchi,Kensington and Chelsea,Ice Cream Shop,Eating out,51.489239341994235,-0.16426476718180824,"[51.502, -0.1947]"
Hackett,Kensington and Chelsea,Men's Store,Shopping,51.49326327311959,-0.15805385819859633,"[51.502, -0.1947]"
Trotters,Kensington and Chelsea,Kids Store,Shopping,51.4918389168962,-0.15945509339430333,"[51.502, -0.1947]"
Massimo Dutti,Kensington and Chelsea,Clothing Store,Shopping,51.492117116479875,-0.1589855446024043,"[51.502, -0.1947]"
Barts,Kensington and Chelsea,Speakeasy,Eating out,51.49254331032132,-0.16702150749072828,"[51.502, -0.1947]"
Starbucks,Kensington and Chelsea,Coffee Shop,Eating out,51.492066,-0.165539,"[51.502, -0.1947]"
Peter Jones & Partners,Kensington and Chelsea,Department Store,Shopping,51.49231349481956,-0.15876665711402893,"[51.502, -0.1947]"
& Other Stories,Kensington and Chelsea,Women's Store,Shopping,51.491139,-0.1609,"[51.502, -0.1947]"
Boots,Kensington and Chelsea,Pharmacy,Other,51.498949956468856,-0.16489299585694897,"[51.502, -0.1947]"
Beaufort House Apartments,Kensington and Chelsea,Residential Building (Apartment / Condo),Other,51.498284473608365,-0.1653246641361646,"[51.502, -0.1947]"
The Mantl,Kensington and Chelsea,Turkish Restaurant,Eating out,51.49837,-0.165832,"[51.502, -0.1947]"
39 Steps Coffee Haus,Westminster,Coffee Shop,Eating out,51.498929,-0.165391,"[51.4973, -0.1372]"
Borshtch N Tears,Kensington and Chelsea,Russian Restaurant,Eating out,51.49764315315458,-0.16488286245907782,"[51.502, -0.1947]"
Jak's,Kensington and Chelsea,Restaurant,Eating out,51.49431178815768,-0.16742659056392084,"[51.502, -0.1947]"
Zefi,Kensington and Chelsea,Cocktail Bar,Going out,51.49405414558166,-0.16769703403377967,"[51.502, -0.1947]"
ORE,Kensington and Chelsea,Café,Eating out,51.496889,-0.168652,"[51.502, -0.1947]"
EL&N,Kensington and Chelsea,Café,Eating out,51.4967279153951,-0.16865193843841553,"[51.502, -0.1947]"
Egerton Gardens,Kensington and Chelsea,Garden,Green spaces,51.496302516868575,-0.16815919376236949,"[51.502, -0.1947]"
Café Zefi,Kensington and Chelsea,Café,Eating out,51.49426110569432,-0.16770920511162762,"[51.502, -0.1947]"
The John Madejski Garden,Kensington and Chelsea,Garden,Green spaces,51.49720555262307,-0.17229570662114702,"[51.502, -0.1947]"
V&A Café,Kensington and Chelsea,Café,Eating out,51.49721619176674,-0.17241089005428986,"[51.502, -0.1947]"
Ennismore Gardens,Westminster,Garden,Green spaces,51.50005256506577,-0.1704683869646783,"[51.4973, -0.1372]"
Ognisko,Westminster,Polish Restaurant,Eating out,51.499271,-0.174015,"[51.4973, -0.1372]"
Daquise,Kensington and Chelsea,Polish Restaurant,Eating out,51.49471403458199,-0.17349400987704336,"[51.502, -0.1947]"
JOE & THE JUICE,Kensington and Chelsea,Juice Bar,Going out,51.48939675356898,-0.1640009880065918,"[51.502, -0.1947]"
Rasoi Restaurant,Kensington and Chelsea,Indian Restaurant,Eating out,51.49152010475909,-0.16151949267951685,"[51.502, -0.1947]"
Colbert,Kensington and Chelsea,French Restaurant,Eating out,51.492818,-0.156647,"[51.502, -0.1947]"
Waterstones,Kensington and Chelsea,Bookstore,Shopping,51.48882930154984,-0.16551167867736696,"[51.502, -0.1947]"
John Sandoe Books,Kensington and Chelsea,Bookstore,Shopping,51.491345281152164,-0.16071180446119246,"[51.502, -0.1947]"
Pret A Manger,Kensington and Chelsea,Sandwich Place,Eating out,51.49040324419601,-0.161855782463852,"[51.502, -0.1947]"
Draycott Hotel,Kensington and Chelsea,Hotel,Other,51.493025859091084,-0.15968271731105688,"[51.502, -0.1947]"
The Roasting Party Coffee,Kensington and Chelsea,Coffee Shop,Eating out,51.493268,-0.158569,"[51.502, -0.1947]"
Maitre Choux,Kensington and Chelsea,Bakery,Groceries,51.489670649606765,-0.16300857067108154,"[51.502, -0.1947]"
The Botanist,Kensington and Chelsea,English Restaurant,Eating out,51.49273166187537,-0.15694219815772975,"[51.502, -0.1947]"
Zara,Kensington and Chelsea,Clothing Store,Shopping,51.4914852145305,-0.15852013730903888,"[51.502, -0.1947]"
Wulf & Lamb,Kensington and Chelsea,Vegetarian / Vegan Restaurant,Eating out,51.49356298544034,-0.15875796010584767,"[51.502, -0.1947]"
Kxu,Kensington and Chelsea,Gym / Fitness Center,Health and Sports,51.493624748737346,-0.158419643457992,"[51.502, -0.1947]"
Anthropologie,Kensington and Chelsea,Women's Store,Shopping,51.48801219256875,-0.1666530953311291,"[51.502, -0.1947]"
Hunan,Westminster,Chinese Restaurant,Eating out,51.490698490413905,-0.1528200452064199,"[51.4973, -0.1372]"
Baker & Spice,Kensington and Chelsea,Café,Eating out,51.493998,-0.164648,"[51.502, -0.1947]"
Heartcore,Kensington and Chelsea,Gym / Fitness Center,Health and Sports,51.48886248521104,-0.1661496447843496,"[51.502, -0.1947]"
St Luke's Garden,Kensington and Chelsea,Park,Green spaces,51.48930528594537,-0.16927524007209088,"[51.502, -0.1947]"
Waitrose & Partners,Kensington and Chelsea,Supermarket,Groceries,51.48832531511091,-0.16706012462134368,"[51.502, -0.1947]"
Belmond Cadogan Hotel,Kensington and Chelsea,Hotel,Other,51.49696983949313,-0.1592795680707959,"[51.502, -0.1947]"
Dinings Sw3,Kensington and Chelsea,Japanese Restaurant,Eating out,51.49610655751641,-0.16428051764233234,"[51.502, -0.1947]"
Hermès,Kensington and Chelsea,Boutique,Shopping,51.49833760718335,-0.1590871810913086,"[51.502, -0.1947]"
Jimmy Choo,Kensington and Chelsea,Shoe Store,Shopping,51.499283216415265,-0.15970287217564325,"[51.502, -0.1947]"
Ladurée,Kensington and Chelsea,Dessert Shop,Shopping,51.498619,-0.162715,"[51.502, -0.1947]"
Amaya Restaurant,Kensington and Chelsea,Indian Restaurant,Eating out,51.499263644426584,-0.15753974099374626,"[51.502, -0.1947]"
Harrods Food Halls,Kensington and Chelsea,Gourmet Shop,Shopping,51.49940665791344,-0.16269587746275996,"[51.502, -0.1947]"
Valentino,Kensington and Chelsea,Clothing Store,Shopping,51.49924915922591,-0.1593086285215577,"[51.502, -0.1947]"
Prada,Kensington and Chelsea,Boutique,Shopping,51.498586603835896,-0.15926528867238604,"[51.502, -0.1947]"
The Perfume Hall,Westminster,Perfume Shop,Shopping,51.499740196831546,-0.1629495620727539,"[51.4973, -0.1372]"
Lowndes Bar & Kitchen,Kensington and Chelsea,Restaurant,Eating out,51.499344966424275,-0.15808810497077913,"[51.502, -0.1947]"
Gucci,Kensington and Chelsea,Boutique,Shopping,51.50013842423916,-0.16006216406822205,"[51.502, -0.1947]"
Shoe Heaven,Kensington and Chelsea,Shoe Store,Shopping,51.4988410082838,-0.16226459953019548,"[51.502, -0.1947]"
Harrods Toy Kingdom,Kensington and Chelsea,Toy / Game Store,Shopping,51.49888529018256,-0.1630139350891113,"[51.502, -0.1947]"
Sumosan Twiga,Kensington and Chelsea,Japanese Restaurant,Eating out,51.49897879637835,-0.15947341918945312,"[51.502, -0.1947]"
Eaton Square,Westminster,Plaza,Other,51.49546664476133,-0.15308639560528425,"[51.4973, -0.1372]"
Waitrose & Partners,Kensington and Chelsea,Supermarket,Groceries,51.49899158834866,-0.1567289166775936,"[51.502, -0.1947]"
Dior,Kensington and Chelsea,Clothing Store,Shopping,51.49938010243982,-0.15964613006857642,"[51.502, -0.1947]"
Van Cleef & Arpels,Kensington and Chelsea,Jewelry Store,Shopping,51.498974037027885,-0.16353617790991848,"[51.502, -0.1947]"
Cafe Godiva,Kensington and Chelsea,Chocolate Shop,Shopping,51.49915637905384,-0.1643496350644518,"[51.502, -0.1947]"
Cartier,Kensington and Chelsea,Jewelry Store,Shopping,51.49895687191212,-0.1637224576720655,"[51.502, -0.1947]"
Bottega Veneta,Kensington and Chelsea,Boutique,Shopping,51.49917288903372,-0.15973846549679618,"[51.502, -0.1947]"
Sale e Pepe,Kensington and Chelsea,Italian Restaurant,Eating out,51.500564,-0.160622,"[51.502, -0.1947]"
Tom Ford Flagship,Kensington and Chelsea,Boutique,Shopping,51.50096974345117,-0.16001155878567694,"[51.502, -0.1947]"
Chelsea Physic Garden,Kensington and Chelsea,Garden,Green spaces,51.48488039278791,-0.1625579277703248,"[51.502, -0.1947]"
The Peace Pagoda,Wandsworth,Monument / Landmark,Other,51.48203100527882,-0.15903353691101074,"[51.4567, -0.191]"
Chelsea Bridge Burger,Wandsworth,Burger Joint,Eating out,51.48339899394505,-0.14944760613548502,"[51.4567, -0.191]"
Cinnamon Kitchen,Wandsworth,Indian Restaurant,Eating out,51.483269,-0.147015,"[51.4567, -0.191]"
Restaurant Gordon Ramsay,Kensington and Chelsea,French Restaurant,Eating out,51.485592879739315,-0.16212232187050474,"[51.502, -0.1947]"
Fiume,Wandsworth,Italian Restaurant,Eating out,51.48321794784676,-0.1458397894239022,"[51.4567, -0.191]"
The Battersea General Store,Wandsworth,Convenience Store,Shopping,51.48251606639708,-0.14617616567613823,"[51.4567, -0.191]"
Pestana Chelsea Bridge Hotel & Spa,Wandsworth,Hotel,Other,51.48145665065537,-0.14857942315408112,"[51.4567, -0.191]"
Battersea Park,Wandsworth,Park,Green spaces,51.479512013817555,-0.1569843292236328,"[51.4567, -0.191]"
Battersea Power Station,Wandsworth,Historic Site,Other,51.48175706334808,-0.1446676254272461,"[51.4567, -0.191]"
Pear Tree Cafe,Wandsworth,Café,Eating out,51.4797187463445,-0.15123687408612033,"[51.4567, -0.191]"
Battersea Park Millennium Arena,Wandsworth,Track Stadium,Health and Sports,51.48103473420362,-0.15310080021251277,"[51.4567, -0.191]"
The Black Cab Coffee Co,Wandsworth,Coffee Shop,Eating out,51.48248534436551,-0.13645201921463013,"[51.4567, -0.191]"
District,Wandsworth,Coffee Shop,Eating out,51.48194510155285,-0.13474568301836687,"[51.4567, -0.191]"
Dolphin Square,Westminster,Plaza,Other,51.487092317169285,-0.1367096937282827,"[51.4973, -0.1372]"
Battersea Park Bandstand,Wandsworth,Plaza,Other,51.4801743163381,-0.15967303605567673,"[51.4567, -0.191]"
Boqueria,Wandsworth,Spanish Restaurant,Eating out,51.476627742416206,-0.14821355035319814,"[51.4567, -0.191]"
Linnaean,Wandsworth,Restaurant,Eating out,51.482418,-0.135371,"[51.4567, -0.191]"
Battersea Dogs And Cats Home,Wandsworth,Animal Shelter,Other,51.47839413211259,-0.14493964829943684,"[51.4567, -0.191]"
Mondo Brewing Company,Wandsworth,Brewery,Other,51.47464317652266,-0.14004733256422544,"[51.4567, -0.191]"
Dolphin Gym,Westminster,Gym,Health and Sports,51.48657073218397,-0.13673350967329284,"[51.4973, -0.1372]"
Dolphin House - Serviced Apartments,Westminster,Hotel,Other,51.48744340356031,-0.13620450989812954,"[51.4973, -0.1372]"
The Spa,Westminster,Spa,Health and Sports,51.487001794174624,-0.1365303814640179,"[51.4973, -0.1372]"
New Covent Garden Market,Wandsworth,Flower Shop,Shopping,51.48319700186664,-0.12934636939453092,"[51.4567, -0.191]"
Hot Stuff,Lambeth,Indian Restaurant,Eating out,51.47961154586812,-0.12648125782550543,"[51.4607, -0.1163]"
San Gennaro,Wandsworth,Italian Restaurant,Eating out,51.476276248792544,-0.1484403637904753,"[51.4567, -0.191]"
South Bank Club,Lambeth,Gym / Fitness Center,Health and Sports,51.47853439989353,-0.12953014478498134,"[51.4607, -0.1163]"
The Grosvenor,Westminster,Pub,Going out,51.4865500977277,-0.1313891014354676,"[51.4973, -0.1372]"
Sainsbury's,Wandsworth,Supermarket,Groceries,51.481068329592155,-0.12846115663257995,"[51.4567, -0.191]"
Tozi,Westminster,Italian Restaurant,Eating out,51.49409400976286,-0.1413354102987796,"[51.4973, -0.1372]"
Stockwell Continental,Lambeth,Bistro,Eating out,51.477432,-0.123253,"[51.4607, -0.1163]"
Le Pain Quotidien,Westminster,Bakery,Groceries,51.49409284079093,-0.1423931121826172,"[51.4973, -0.1372]"
The Gym,Lambeth,Gym,Health and Sports,51.48530506481089,-0.12624354692889028,"[51.4607, -0.1163]"
Ole & Steen,Westminster,Coffee Shop,Eating out,51.494293,-0.14751512,"[51.4973, -0.1372]"
Pret A Manger,Lambeth,Sandwich Place,Eating out,51.48632079707618,-0.12462132601290228,"[51.4607, -0.1163]"
Priory Arms,Lambeth,Pub,Going out,51.47494468368068,-0.12826860398640674,"[51.4607, -0.1163]"
